Phase,Hip,Knee
0,0.297588877,-0.672830477
0.005790954,0.297584569,-0.672808275
0.011581908,0.297588253,-0.672804848
0.017372863,0.297599902,-0.672820304
0.023163817,0.297619379,-0.672854487
0.028954771,0.297646441,-0.672906984
0.034745725,0.297680737,-0.672977126
0.040536679,0.297721815,-0.673063998
0.046327634,0.29776913,-0.67316645
0.052118588,0.297822045,-0.673283113
0.057909542,0.297879848,-0.673412414
0.063700496,0.297941753,-0.6735526
0.06949145,0.298006915,-0.673701759
0.075282405,0.298074443,-0.673857849
0.081073359,0.298143405,-0.674018721
0.086864313,0.29821285,-0.674182152
0.092655267,0.298281813,-0.674345872
0.098446221,0.298349332,-0.674507598
0.104237176,0.298414462,-0.674665065
0.11002813,0.298476285,-0.674816054
0.115819084,0.298533924,-0.674958428
0.121610038,0.298586558,-0.675090158
0.127400992,0.298633428,-0.675209351
0.133191947,0.298673855,-0.675314281
0.138982901,0.298707241,-0.67540341
0.144773855,0.298733085,-0.67547541
0.150564809,0.298750988,-0.675529186
0.156355763,0.298760656,-0.675563887
0.162146718,0.298761911,-0.675578925
0.167937672,0.298754686,-0.675573978
0.173728626,0.298739034,-0.675549002
0.17951958,0.298715122,-0.675504229
0.185310534,0.298683236,-0.675440166
0.191101489,0.29864377,-0.675357592
0.196892443,0.298597225,-0.675257546
0.202683397,0.298544205,-0.675141314
0.208474351,0.298485406,-0.675010416
0.214265305,0.298421607,-0.674866583
0.22005626,0.298353661,-0.674711734
0.225847214,0.298282483,-0.674547955
0.231638168,0.298209039,-0.674377465
0.237429122,0.298134332,-0.674202593
0.243220076,0.298059389,-0.67402574
0.249011031,0.297985244,-0.67384935
0.254801985,0.297912929,-0.673675878
0.260592939,0.297843457,-0.673507751
0.266383893,0.297777808,-0.673347338
0.272174847,0.297716914,-0.673196917
0.277965802,0.297661649,-0.673058642
0.283756756,0.297612814,-0.672934511
0.28954771,0.297571127,-0.672826343
0.295338664,0.297537212,-0.672735742
0.301129618,0.29751159,-0.672664083
0.306920573,0.297494669,-0.672612488
0.312711527,0.297486743,-0.672581804
0.318502481,0.29748798,-0.672572599
0.324293435,0.297498425,-0.672585143
0.330084389,0.297517995,-0.672619407
0.335875344,0.297546481,-0.672675063
0.341666298,0.297583549,-0.672751479
0.347457252,0.297628742,-0.672847735
0.353248206,0.297681491,-0.672962625
0.35903916,0.297741116,-0.67309468
0.364830115,0.297806837,-0.673242177
0.370621069,0.297877784,-0.673403169
0.376412023,0.297953008,-0.673575506
0.382202977,0.298031494,-0.673756865
0.387993931,0.298112175,-0.67394478
0.393784886,0.298193944,-0.674136673
0.39957584,0.298275671,-0.674329893
0.405366794,0.298356217,-0.674521749
0.411157748,0.29843445,-0.67470955
0.416948702,0.298509264,-0.674890636
0.422739657,0.298579588,-0.675062422
0.428530611,0.298644405,-0.675222431
0.434321565,0.298702769,-0.67536833
0.440112519,0.298753811,-0.675497962
0.445903473,0.29879676,-0.67560938
0.451694428,0.298830948,-0.675700873
0.457485382,0.298855825,-0.675770993
0.463276336,0.298870964,-0.675818579
0.46906729,0.298876071,-0.675842772
0.474858244,0.298870985,-0.675843032
0.480649199,0.298855689,-0.675819148
0.486440153,0.298830306,-0.675771243
0.492231107,0.2987951,-0.675699777
0.498022061,0.298750473,-0.675605542
0.503813015,0.298696964,-0.675489654
0.50960397,0.298635237,-0.675353543
0.515394924,0.298566081,-0.675198934
0.521185878,0.29849039,-0.675027824
0.526976832,0.298409163,-0.674842464
0.532767786,0.298323482,-0.67464532
0.538558741,0.298234503,-0.674439052
0.544349695,0.298143439,-0.674226468
0.550140649,0.298051545,-0.674010497
0.555931603,0.2979601,-0.673794142
0.561722557,0.297870388,-0.673580443
0.567513512,0.297783684,-0.673372431
0.573304466,0.297701236,-0.673173094
0.57909542,0.297624243,-0.672985326
0.584886374,0.297553842,-0.672811891
0.590677328,0.297491092,-0.672655383
0.596468283,0.297436956,-0.672518186
0.602259237,0.297392286,-0.67240244
0.608050191,0.297357814,-0.67231001
0.613841145,0.297334139,-0.672242454
0.619632099,0.297321713,-0.672201
0.625423054,0.297320839,-0.672186524
0.631214008,0.297331664,-0.672199537
0.637004962,0.297354169,-0.672240167
0.642795916,0.297388177,-0.672308161
0.64858687,0.297433345,-0.672402877
0.654377825,0.297489172,-0.672523293
0.660168779,0.297555002,-0.672668012
0.665959733,0.297630031,-0.672835282
0.671750687,0.297713316,-0.673023013
0.677541641,0.297803789,-0.6732288
0.683332596,0.297900265,-0.673449956
0.68912355,0.298001462,-0.673683545
0.694914504,0.298106015,-0.673926417
0.700705458,0.298212493,-0.674175251
0.706496412,0.29831942,-0.674426599
0.712287367,0.298425292,-0.674676932
0.718078321,0.298528602,-0.674922685
0.723869275,0.298627854,-0.675160312
0.729660229,0.298721592,-0.675386329
0.735451183,0.298808412,-0.675597368
0.741242138,0.298886989,-0.675790224
0.747033092,0.298956094,-0.675961899
0.752824046,0.299014611,-0.676109653
0.758615,0.299061557,-0.676231037
0.764405954,0.299096094,-0.676323942
0.770196909,0.299117547,-0.676386623
0.775987863,0.299125413,-0.676417735
0.781778817,0.299119369,-0.676416358
0.787569771,0.299099285,-0.676382012
0.793360725,0.299065223,-0.676314675
0.79915168,0.299017443,-0.67621479
0.804942634,0.298956402,-0.676083262
0.810733588,0.298882748,-0.675921461
0.816524542,0.29879732,-0.675731202
0.822315496,0.298701133,-0.675514734
0.828106451,0.298595372,-0.675274713
0.833897405,0.298481379,-0.675014173
0.839688359,0.298360632,-0.67473649
0.845479313,0.298234732,-0.674445343
0.851270267,0.298105382,-0.674144665
0.857061222,0.297974364,-0.673838596
0.862852176,0.297843517,-0.67353143
0.86864313,0.297714714,-0.673227557
0.874434084,0.297589833,-0.672931401
0.880225038,0.297470737,-0.672647366
0.886015993,0.297359243,-0.672379769
0.891806947,0.297257096,-0.67213278
0.897597901,0.297165949,-0.671910365
0.903388855,0.297087332,-0.671716218
0.909179809,0.297022632,-0.671553716
0.914970764,0.29697307,-0.671425855
0.920761718,0.29693968,-0.671335207
0.926552672,0.296923292,-0.671283873
0.932343626,0.296924515,-0.671273442
0.93813458,0.296943723,-0.671304963
0.943925535,0.296981046,-0.67137891
0.949716489,0.297036362,-0.67149517
0.955507443,0.297109292,-0.671653026
0.961298397,0.297199199,-0.671851154
0.967089351,0.297305192,-0.672087626
0.972880306,0.29742613,-0.672359923
0.97867126,0.297560632,-0.672664953
0.984462214,0.297707088,-0.67299908
0.990253168,0.29786368,-0.673358159
0.996044122,0.298028393,-0.673737581
1.001835077,0.298199046,-0.674132322
1.007626031,0.29837331,-0.674537
1.013416985,0.298548741,-0.674945942
1.019207939,0.298722803,-0.675353251
1.024998893,0.298892909,-0.675752878
1.030789848,0.299056446,-0.676138705
1.036580802,0.299210815,-0.676504623
1.042371756,0.299353463,-0.676844615
1.04816271,0.299481922,-0.677152845
1.053953664,0.299593844,-0.677423737
1.059744619,0.299687035,-0.677652064
1.065535573,0.299759492,-0.677833029
1.071326527,0.299809435,-0.677962342
1.077117481,0.29983534,-0.678036302
1.082908435,0.299835968,-0.678051862
1.08869939,0.299810391,-0.678006695
1.094490344,0.299758018,-0.677899256
1.100281298,0.299678617,-0.677728829
1.106072252,0.299572329,-0.677495571
1.111863206,0.299439684,-0.677200549
1.117654161,0.29928161,-0.676845756
1.123445115,0.299099439,-0.676434133
1.129236069,0.298894906,-0.675969569
1.135027023,0.29867015,-0.675456896
1.140817977,0.298427699,-0.674901867
1.146608932,0.298170461,-0.674311132
1.152399886,0.297901708,-0.673692197
1.15819084,0.297625052,-0.673053372
1.163981794,0.297344418,-0.672403715
1.169772748,0.297064018,-0.671752958
1.175563703,0.296788311,-0.671111429
1.181354657,0.296521972,-0.670489967
1.187145611,0.296269845,-0.669899824
1.192936565,0.296036904,-0.669352564
1.198727519,0.295828205,-0.668859957
1.204518474,0.295648839,-0.668433862
1.210309428,0.29550388,-0.668086117
1.216100382,0.295398338,-0.667828414
1.221891336,0.295337106,-0.667672186
1.22768229,0.295324909,-0.667628482
1.233473245,0.295366255,-0.667707849
1.239264199,0.295465384,-0.667920221
1.245055153,0.295626221,-0.668274798
1.250846107,0.295852333,-0.668779949
1.256637061,0.296146879,-0.669443103
1.262428016,0.296512581,-0.670270659
1.26821897,0.296951678,-0.671267899
1.274009924,0.297465898,-0.672438915
1.279800878,0.29805643,-0.673786537
1.285591832,0.298147322,-0.674130507
1.291382787,0.298147322,-0.674130507
1.297173741,0.298147322,-0.674130507
1.302964695,0.298147322,-0.674130507
1.308755649,0.298147322,-0.674130507
1.314546603,0.298147322,-0.674130507
1.320337558,0.298147322,-0.674130507
1.326128512,0.298147322,-0.674130507
1.331919466,0.298147322,-0.674130507
1.33771042,0.298147322,-0.674130507
1.343501374,0.298147322,-0.674130507
1.349292329,0.298147322,-0.674130507
