Phase,Hip,Knee
0,0.298154039,-0.674148601
0.005790954,0.298142308,-0.674121313
0.011581908,0.298132506,-0.674097574
0.017372863,0.298127836,-0.674085153
0.023163817,0.298129831,-0.67408815
0.028954771,0.298137845,-0.674105625
0.034745725,0.29814926,-0.674131897
0.040536679,0.298160339,-0.674158385
0.046327634,0.298167449,-0.674176416
0.052118588,0.298168253,-0.674180069
0.057909542,0.298162476,-0.674168125
0.063700496,0.298152002,-0.674144467
0.06949145,0.298140253,-0.674116824
0.075282405,0.298131072,-0.674094233
0.081073359,0.298127462,-0.674084082
0.086864313,0.298130597,-0.674089683
0.092655267,0.298139438,-0.674109178
0.098446221,0.298151073,-0.674136148
0.104237176,0.298161671,-0.674161717
0.11002813,0.29816774,-0.674177463
0.115819084,0.298167276,-0.674178185
0.121610038,0.298160419,-0.674163615
0.127400992,0.298149411,-0.674138512
0.133191947,0.29813786,-0.674111099
0.138982901,0.298129556,-0.674090368
0.144773855,0.298127221,-0.674083122
0.150564809,0.29813162,-0.674091739
0.156355763,0.298141305,-0.674113384
0.162146718,0.298153088,-0.674140939
0.167937672,0.298163092,-0.674165336
0.173728626,0.298168019,-0.674178538
0.17951958,0.298166243,-0.674176182
0.185310534,0.298158338,-0.674159019
0.191101489,0.298146894,-0.674132667
0.196892443,0.298135669,-0.674105774
0.202683397,0.298128349,-0.674087174
0.208474351,0.29812734,-0.674082982
0.214265305,0.298132974,-0.674094582
0.22005626,0.298143399,-0.674118163
0.225847214,0.298155185,-0.674145973
0.231638168,0.298164455,-0.674168863
0.237429122,0.298168154,-0.674179292
0.243220076,0.29816506,-0.674173812
0.249011031,0.298156184,-0.674154207
0.254801985,0.29814444,-0.674126906
0.260592939,0.298133686,-0.674100877
0.266383893,0.298127457,-0.67408468
0.272174847,0.298127804,-0.674083644
0.277965802,0.298134613,-0.674098118
0.283756756,0.298145646,-0.674123349
0.28954771,0.298157274,-0.674151041
0.295338664,0.29816567,-0.674172081
0.301129618,0.298168068,-0.674179539
0.306920573,0.298163676,-0.674170946
0.312711527,0.298153933,-0.674149114
0.318502481,0.29814204,-0.674121212
0.324293435,0.298131908,-0.674096412
0.330084389,0.29812687,-0.674082873
0.335875344,0.298128584,-0.674085054
0.341666298,0.298136488,-0.674102245
0.347457252,0.298147981,-0.674128797
0.353248206,0.298159283,-0.674155978
0.35903916,0.298166674,-0.674174842
0.364830115,0.29816772,-0.674179174
0.370621069,0.298162072,-0.674167537
0.376412023,0.298151588,-0.674143751
0.382202977,0.298139714,-0.674115632
0.387993931,0.298130357,-0.674092429
0.393784886,0.298126596,-0.674081778
0.39957584,0.298129668,-0.674087189
0.405366794,0.298138564,-0.674106887
0.411157748,0.298150356,-0.674134395
0.416948702,0.298161163,-0.674160662
0.422739657,0.298167428,-0.674177043
0.428530611,0.298167088,-0.674178142
0.434321565,0.298160254,-0.674163591
0.440112519,0.298149175,-0.674138171
0.445903473,0.298137496,-0.674110244
0.451694428,0.29812906,-0.674088999
0.457485382,0.298126644,-0.674081428
0.463276336,0.298131041,-0.674090024
0.46906729,0.298140804,-0.674111961
0.474858244,0.298152717,-0.67414002
0.480649199,0.298162859,-0.674164967
0.486440153,0.298167891,-0.67417859
0.492231107,0.298166159,-0.674176404
0.498022061,0.298158234,-0.674159128
0.503813015,0.298146726,-0.674132448
0.50960397,0.298135425,-0.674105144
0.515394924,0.29812805,-0.674086201
0.521185878,0.298127026,-0.674081853
0.526976832,0.298132687,-0.674093527
0.532767786,0.298143166,-0.674117377
0.538558741,0.29815501,-0.674145549
0.544349695,0.29816432,-0.67416877
0.550140649,0.298168032,-0.674179399
0.555931603,0.298164928,-0.674173941
0.561722557,0.298156036,-0.674154202
0.567513512,0.298144287,-0.674126684
0.573304466,0.298133552,-0.674100447
0.57909542,0.298127363,-0.674084127
0.584886374,0.298127752,-0.674083086
0.590677328,0.298134585,-0.674097656
0.596468283,0.298145604,-0.674123028
0.602259237,0.298157177,-0.674150842
0.608050191,0.298165492,-0.674171943
0.613841145,0.298167818,-0.674179392
0.619632099,0.298163396,-0.674170752
0.625423054,0.298153694,-0.674148885
0.631214008,0.298141912,-0.674121004
0.637004962,0.298131933,-0.674096292
0.642795916,0.29812704,-0.674082876
0.64858687,0.298128832,-0.674085154
0.654377825,0.298136707,-0.674102353
0.660168779,0.298148061,-0.674128787
0.665959733,0.298159147,-0.674155742
0.671750687,0.298166318,-0.674174346
0.677541641,0.298167221,-0.674178495
0.683332596,0.298161574,-0.674166852
0.68912355,0.298151254,-0.674143282
0.694914504,0.29813967,-0.674115568
0.700705458,0.298130638,-0.674092838
0.706496412,0.298127125,-0.674082558
0.712287367,0.29813027,-0.674088077
0.718078321,0.298139016,-0.674107535
0.723869275,0.298150465,-0.674134492
0.729660229,0.29816084,-0.674160055
0.735451183,0.298166729,-0.674175821
0.741242138,0.298166211,-0.674176634
0.747033092,0.298159482,-0.674162281
0.752824046,0.298148781,-0.674137536
0.758615,0.298137649,-0.67411058
0.764405954,0.298129751,-0.674090285
0.770196909,0.298127672,-0.674083299
0.775987863,0.298132066,-0.674091862
0.781778817,0.298141456,-0.674113085
0.787569771,0.298152724,-0.67413993
0.793360725,0.298162152,-0.674163542
0.79915168,0.298166647,-0.674176175
0.804942634,0.29816476,-0.674173735
0.810733588,0.298157153,-0.67415711
0.816524542,0.298146365,-0.67413185
0.822315496,0.298135968,-0.674106311
0.828106451,0.298129381,-0.674088888
0.833897405,0.298128742,-0.674085252
0.839688359,0.298134215,-0.6740965
0.845479313,0.29814395,-0.674118825
0.851270267,0.298154708,-0.674144806
0.857061222,0.298162942,-0.674165878
0.862852176,0.298165966,-0.674175163
0.86864313,0.298162835,-0.674169716
0.874434084,0.298154643,-0.674151463
0.880225038,0.298144136,-0.674126521
0.886015993,0.298134795,-0.674103148
0.891806947,0.298129678,-0.674088998
0.897597901,0.298130418,-0.674088611
0.903388855,0.298136696,-0.674101953
0.909179809,0.298146375,-0.674124477
0.914970764,0.298156225,-0.674148677
0.920761718,0.298163008,-0.674166594
0.926552672,0.298164539,-0.674172442
0.932343626,0.298160401,-0.674164487
0.93813458,0.298152048,-0.674145552
0.943925535,0.298142301,-0.674122023
0.949716489,0.298134386,-0.674101685
0.955507443,0.29813087,-0.67409114
0.961298397,0.298132814,-0.674093649
0.967089351,0.298139463,-0.674108125
0.972880306,0.298148523,-0.674129575
0.97867126,0.298156963,-0.674150828
0.984462214,0.298162025,-0.674164941
0.990253168,0.298162142,-0.674167488
0.996044122,0.298157416,-0.674157948
1.001835077,0.298149548,-0.674139782
1.007626031,0.298141221,-0.674119178
1.013416985,0.298135183,-0.674102931
1.019207939,0.298133331,-0.674096183
1.024998893,0.298136109,-0.674100779
1.030789848,0.298142409,-0.674114777
1.036580802,0.298150008,-0.674133231
1.042371756,0.298156348,-0.674149947
1.04816271,0.298159415,-0.674159587
1.053953664,0.298158385,-0.6741594
1.059744619,0.298153845,-0.674150005
1.065535573,0.298147518,-0.674135007
1.071326527,0.298141611,-0.674119624
1.077117481,0.298138036,-0.674108841
1.082908435,0.298137774,-0.674105761
1.08869939,0.298140599,-0.674110692
1.094490344,0.298145252,-0.674121269
1.100281298,0.298149971,-0.674133491
1.106072252,0.298153164,-0.67414325
1.111863206,0.298153971,-0.67414777
1.117654161,0.29815251,-0.674146434
1.123445115,0.298149724,-0.674140732
1.129236069,0.298146918,-0.674133418
1.135027023,0.298145178,-0.674127262
1.140817977,0.298144922,-0.674123937
1.146608932,0.298145772,-0.674123484
1.152399886,0.298146799,-0.674124579
1.15819084,0.298147038,-0.674125436
1.163981794,0.298146037,-0.674124925
1.169772748,0.298144185,-0.674123355
1.175563703,0.298142638,-0.674122489
1.181354657,0.298142824,-0.674124704
1.187145611,0.298145699,-0.674131591
1.192936565,0.298151073,-0.674142599
1.198727519,0.298157329,-0.674154453
1.204518474,0.298161775,-0.674161801
1.210309428,0.298161591,-0.674159132
1.216100382,0.298155115,-0.674143394
1.221891336,0.298142969,-0.674116327
1.22768229,0.298128511,-0.674085378
1.233473245,0.298117228,-0.674062399
1.239264199,0.298115047,-0.674060006
1.245055153,0.298125946,-0.674086432
1.250846107,0.29814963,-0.674140501
1.256637061,0.298180209,-0.67420877
1.262428016,0.298206691,-0.674266654
1.26821897,0.298215699,-0.674284453
1.274009924,0.298196162,-0.674237789
1.279800878,0.298145075,-0.674120449
1.285591832,0.298147322,-0.674130507
1.291382787,0.298147322,-0.674130507
1.297173741,0.298147322,-0.674130507
1.302964695,0.298147322,-0.674130507
1.308755649,0.298147322,-0.674130507
1.314546603,0.298147322,-0.674130507
1.320337558,0.298147322,-0.674130507
1.326128512,0.298147322,-0.674130507
1.331919466,0.298147322,-0.674130507
1.33771042,0.298147322,-0.674130507
1.343501374,0.298147322,-0.674130507
1.349292329,0.298147322,-0.674130507
1.355083283,0.298147322,-0.674130507
1.360874237,0.298147322,-0.674130507
1.366665191,0.298147322,-0.674130507
1.372456145,0.298147322,-0.674130507
1.3782471,0.298147322,-0.674130507
1.384038054,0.298147322,-0.674130507
1.389829008,0.298147322,-0.674130507
1.395619962,0.298147322,-0.674130507
1.401410916,0.298147322,-0.674130507
1.407201871,0.298147322,-0.674130507
1.412992825,0.298147322,-0.674130507
1.418783779,0.298147322,-0.674130507
1.424574733,0.298147322,-0.674130507
1.430365687,0.298147322,-0.674130507
1.436156642,0.298147322,-0.674130507
1.441947596,0.298147322,-0.674130507
1.44773855,0.298147322,-0.674130507
1.453529504,0.298147322,-0.674130507
1.459320458,0.298147322,-0.674130507
1.465111413,0.298147322,-0.674130507
1.470902367,0.298147322,-0.674130507
1.476693321,0.298147322,-0.674130507
1.482484275,0.298147322,-0.674130507
1.488275229,0.298147322,-0.674130507
1.494066184,0.298147322,-0.674130507
1.499857138,0.298147322,-0.674130507
1.505648092,0.298147322,-0.674130507
1.511439046,0.298147322,-0.674130507
1.51723,0.298147322,-0.674130507
1.523020955,0.298147322,-0.674130507
1.528811909,0.298147322,-0.674130507
1.534602863,0.298147322,-0.674130507
1.540393817,0.298147322,-0.674130507
1.546184771,0.298147322,-0.674130507
1.551975726,0.298147322,-0.674130507
1.55776668,0.298147322,-0.674130507
