seed,final_reward,avg_eval_reward,steps,notes
0,-3.2455971240997314,-12.14783763885498,250000,
1,-2.679628372192383,-13.571993827819824,250000,
2,-2.099905252456665,-10.736003875732422,250000,
3,-3.6469223499298096,-12.382600784301758,250000,
4,-1.1011991500854492,-2.3566737174987793,250000,
0,-4.263400554656982,-28.797557830810547,50000,
1,-4.366311550140381,-59.93053436279297,50000,
2,-13.265069961547852,-57.731842041015625,50000,
3,-6.97127103805542,-48.8100471496582,50000,
4,-2.879570722579956,-18.333080291748047,50000,
