num/timesteps,50000,100000,150000,200000,250000,gainonly50000,gainonly100000,gainonly150000,gainonly200000,gainonly250000,nofeedback,init_height,omega
1,-414.1481323,2705.005615,-2477.328613,-2512.617188,3103.548096,953.8158569,2754.037842,-2460.009521,2577.579834,1232.546265,-2502.047363,1,4.63
2,2125.048828,2963.80127,2563.347656,2176.836182,2292.369385,2912.180908,-2719.228027,2857.559326,3318.173096,1031.120972,3064.868164,1.5,4.63
3,2584.906982,2992.938965,2934.404541,2326.08252,2474.640869,3196.452637,3314.057617,-2140.158447,4006.719238,1200.255615,2307.883789,0.5,4.63
4,457.2088623,467.9228821,469.2904663,470.8866577,476.5335388,541.0306396,213.1992798,2296.3396,207.5336151,389.991394,471.7372131,1,pi
5,422.4539795,433.3558655,434.500946,437.6868286,441.6966248,509.4871216,165.2732697,2347.12085,157.2430573,330.8152466,438.3749695,1.5,pi
6,504.2012939,514.7593994,516.3170776,517.638855,524.3792114,199.3454437,257.7015076,2340.323975,253.0681458,199.3454437,518.6621704,0.5,pi
7,-2458.707275,-1357.482178,-2481.475098,-2523.085693,2313.952393,-1319.112305,2465.523193,-2445.195313,-1302.528076,-2422.967773,-2512.604492,1,1.5pi
8,2409.437012,3862.506104,2956.707764,2998.985596,2456.649902,1353.658691,-2709.970215,-1322.784424,3464.201172,1032.085449,2867.686279,1.5,1.5pi
9,2667.3125,3746.835205,3275.249268,2748.468262,2603.616455,3758.503906,1769.574707,-2229.080322,1756.150513,1829.394043,2691.849609,0.5,1.5pi
10,2116.077393,2921.333008,2781.882568,2127.075684,2354.957275,3075.962891,2356.867188,2851.326416,1252.516113,987.5095215,2105.758789,0,4.63
11,325.6647339,336.0885925,337.5712891,339.0687561,345.4317627,413.3942566,88.07524872,11.87473869,82.2008667,11.87473869,340.0881958,0,pi
12,2398.100586,2448.839355,2471.988525,2519.612305,2409.284912,3494.889893,-1154.129761,-551.8807983,-1127.023438,1083.598755,2510.475586,0,1.5pi
